"year","Ammonium Nitrate Solid","Ammonium Sulfate","Anhydrous Ammonia","Aqua Ammonia","Calcium Cyanamide","Calcium Nitrate","Chemical Mixtures","Concentrated Super","Diammonium Phosphate DAP","Monammonium Phosphate MAP","Nitrogen Solutions","Normal Super","Other Nitrogen Fertilizers","Other Phosphate Fertilizers","Other Potassium Fertilizers","Phosphate Rock","Phosphoric Acid, Superphosphoric","Phosphoric Acid, Wet Process","Potassium Muriate","Potassium Nitrate","Potassium Sulfate","Potassium-Sodium Nitrate","Sodium Nitrate","Sulfur","Urea Solid"
1990,"45627.503899999996","1123284.4851000002","645502.4708","","588.6282","","273049.6307","786882.3664999999","8549528.0863","812319.0412999999","513539.524","36014.34560000001","33551.80739999998","113124.63980000002","350725.4048","7670689.649199998","135727.30130000002","612265.9212000001","491416.363","","268672.3974","","4771.8567","","941477.7369"
1991,"44899.98590000001","827983.8266","777274.7196999999","","4096.1468","","303361.77840000024","1005648.1314","1.07340276458E7","847664.2908000001","338679.47040000005","38066.8282","37458.35859999998","15813.595800000001","337788.81199999986","6337657.315500002","64057.9599","485598.4236","805367.9375","","224098.6923","","4433.4506","","1180436.5355"
1992,"43968.5424","883123.0772","474553.3776000001","","1178.3587","","397642.59969999973","1227784.7297","9117688.779900001","980762.6065999998","406498.4779","41654.8147","52510.26509999999","21308.561300000005","322566.0490000001","4383076.5923","297628.7161","664144.5684","780950.8902000001","","341024.0625","","6165.1639000000005","","1006732.7945999999"
1993,"72790.3805","834248.1975","507437.1912000001","","45.1943","","446006.01220000006","839775.1297000002","7979224.5215","1209603.3935000002","30856.683899999996","20899.608","61502.8285","38913.3946","366904.96420000016","3938427.5114000035","104374.58240000001","548290.6338000001","398143.04389999993","","246012.41630000004","","2368.8427","","726504.9863"
1994,"60633.11380000001","840411.1568","287974.77270000003","","12.1253","","481685.25859999954","882377.9224","1.0135053258E7","1627539.3362000005","131268.4978","9327.6626","86636.37080000003","29230.791400000002","328146.99389999994","3647806.116399999","447312.2377","570967.1493999999","462128.2520000001","","301296.0682","","1823.2042000000001","","1004797.1558"
1995,"98774.89840000002","1010837.7598000002","426156.8961","","128.9691","","355342.93950000004","786774.3411000001","1.1087763431899998E7","1327394.0691999996","5439.8505000000005","6823.237","60719.093199999996","5918.2487","373788.82769999997","3295502.2180000003","469771.6002","634115.7118","327472.3863","","319754.0817","","3116.2021","","971402.9772999999"
1996,"68270.9505","908757.0636999999","583732.8857","","74.9564","","438541.2366000002","752346.2052000001","9307307.5282","1664197.4249999998","36470.6978","5608.5024","56585.468199999996","14819.3212","453232.6910000003","1732086.9797","126819.61499999999","628417.9231000001","432696.842","","311881.4551","","4061.9755000000005","","1620929.9453999999"
1997,"52336.10169999999","957116.067","561312.1037000001","","58.4219","","364681.6250999999","766414.8601000002","1.0810052174500002E7","1907154.2657000003","60342.10660000001","4734.3785","62115.707299999995","15576.601300000002","466003.9387999999","378509.9786000001","53048.18750000001","598559.923","386735.3412","","323893.21820000006","","2916.6858","","1028095.3686"
1998,"60389.50550000001","1157747.8946","823599.9795","","221.56229999999996","","406690.27810000005","686166.3178000001","1.07211814416E7","1850508.1709999992","57986.491500000004","9825.9022","67759.48330000004","19114.984300000007","503245.14429999987","416365.1652000001","90175.8561","587533.6161","347227.8069","","319339.6169","","4666.0359","","926548.1857"
1999,"31120.1336","1177571.6578000002","754151.7726","","28.6598","","311134.09570000035","698960.7139","1.08680662235E7","1971822.8998000002","24807.261499999997","6969.8429","95487.8398","77270.12770000001","514153.50509999995","299856.46440000006","84693.01590000001","440311.5304","475573.00509999995","","147863.6243","","1911.3882000000003","","980706.3893"
2000,"23821.8053","1083578.5368000001","886892.9432000002","","111.3323","","313898.6641000002","600583.7457999999","7978284.2596","2530789.3091","17717.2679","1748.2478000000003","98325.15999999995","33162.69550000001","501188.2525000001","329268.03300000005","63138.6417","416397.1319","637148.1391","","168783.07370000004","","2495.6072","","730475.4709"
2001,"21249.0371","736464.2668","867909.1326","","55.115","","462492.0109999997","749457.0769","6836096.431799999","2737097.9817000004","37339.31020000001","35454.377199999995","50490.851500000004","19183.326900000004","430777.73770000023","10044.1576","131194.64370000002","253359.24579999998","654647.1516000001","","204853.63660000003","","2423.9577000000004","","872661.1479000001"
2002,"108266.80370000003","963842.3016","586078.5801","","50.705799999999996","","361855.32789999986","605045.8562","6924702.6127","2148434.5080999997","23416.158900000002","1149.6989","102511.69539999995","10795.926200000002","448633.8954000001","68188.27800000002","84916.7828","207446.24619999997","396045.367","","163543.8418","","3097.4630000000006","","1061942.5924000002"
2003,"57161.971099999995","957226.297","537367.9431","","48.501200000000004","","292586.79590000043","564822.9291999999","6786825.826400001","3223550.6878000014","42700.8974","36838.866","67511.46579999998","9670.477900000002","402305.32869999995","70931.9027","95216.674","117369.5971","306311.5332","","178134.98690000002","","2717.1695","","966074.4591"
2004,"121223.23790000001","791052.3674000001","510724.24980000005","","170.8565","","180621.77570000014","350350.6228","5829999.664300001","3772029.8148999996","36672.41870000001","13942.992700000003","45323.26910000002","17764.6668","423027.4664000001","77307.60589999995","154892.99140000003","174528.2613","202597.2285","","75073.2438","","3128.3274000000006","","776248.4784"
2005,"90650.9474","732942.4183000001","704067.6698000001","","","","139402.36950000006","185314.2668","6193764.1758","3189940.458499999","20681.352600000002","1544.3223000000003","38125.25009999998","9426.8696","392926.9602999999","74845.0677","116599.0894","468340.8148000001","150320.651","","79489.05759999999","","2523.1647000000003","","590915.4725"
2006,"140263.2658","1109757.0595","259846.28130000006","","38.5805","","268950.17700000043","71991.213","6234035.604","2546965.5615999997","26379.141300000003","15071.7479","33148.36559999998","5311.983700000002","432046.48500000004","148856.7966","151679.7869","532793.3981","371945.7821","","83089.1694","","3116.2021000000004","","722845.3503000002"
