id,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AFG,,,,,,,,,,,,,,,,,,11.023,,45.1943,1.1023,,2.2046
ALB,,,33065.6931,,,,,,,,,,,,,,,,,,,,
DZA,,100.3093,,29.7621,,,,,28.6598,,,9.9207,7.7161,,,11.023,,,,,,,
AND,,,,,,,,,,,,,,,,,,,,2.2046,,,
AGO,,,,88.184,,,,,31.9667,,,498.2396,,,,,284.3934,7.7161,5501.5793,135.5829,,71.6495,236.9945
AIA,,,,20.9437,,57.3196,,4.4092,5.5115,2.2046,,2.2046,42.9897,41.8874,1.1023,1.1023,71.6495,,1.1023,44.092,,,
ATG,11.023,25.3529,97.0024,41.8874,198.414,45.1943,41.8874,58.4219,19.8414,,19.8414,2.2046,15.4322,,,14.3299,,104.7185,292.1095,37.4782,1118.8345,158.7312,144.4013
ARG,127946.1656,192194.8234,261803.9661,241361.8126,254234.472,342562.8733,772074.0683,378673.119,298442.2135,273679.044,491411.9538,540467.6107,274060.4398,602825.824,801287.2229,486457.1153,564739.1544,539495.3821,320357.0398,363970.6416,335322.9669,536961.1944,547077.0015
ABW,8.8184,117.9461,5.5115,5.5115,36.3759,176.368,27.5575,196.2094,12.1253,92.5932,68.3426,2.2046,551.15,165.345,,,97.0024,1.1023,11.023,12.1253,24.2506,451.943,12.1253
AUS,867173.8985,945495.620400001,1096396.0812,1253290.8494,1298056.3547,1347422.8602,1704185.5621,1513018.0823,1435482.3003,1327040.2309,1262193.0242,1264129.7653,977599.0056,1087891.8367,1199627.5785,1063431.7997,575110.6951,659517.113,614736.1755,479819.0647,650684.3831,477044.5756,611677.293
AUT,126094.3016,184302.3554,2684.1005,20941.4954,8479.9939,6078.0822,55.115,383.6004,264.552,,38.5805,6651.2782,131.1737,72.7518,123.4576,46.2966,5.5115,42.9897,68.3426,28.6598,162.0381,274.4727,1211.4277
AZE,,,,,,,,,,,,,98.1047,,,,,,22.046,,,,
BHS,2472.4589,3059.9848,3618.8509,2774.4891,2126.3367,901.6814,1377.875,1241.1898,1276.4634,1119.9368,2474.6635,3281.5471,1768.0892,1663.3707,1407.6371,3078.7239,3494.291,2157.2011,4011.2697,9175.5452,10848.8366,916.0113,628.311
BHR,,,116.8438,,38.5805,60.6265,15.4322,,,2.2046,45.1943,,,,,19.8414,,99.207,,,,19.8414,40.7851
BGD,86445.6729,316418.5219,137195.5649,19947.2208,57867.4431,23271.7576,173.0611,21824.4377,104395.5261,231184.2767,50372.9054,182471.4351,70262.8066,54299.298,30313.25,30312.1477,,,1.1023,,,34979.2859,
BRB,1367.9543,858.6917,47.3989,106.9231,2124.1321,749.564,745.1548,1417.5578,2412.9347,3235.2505,2377.6611,1953.2756,1014.116,3071.0078,1513.4579,2557.336,1712.9742,1623.6879,1768.0892,360.4521,1236.7806,1242.2921,300.9279
BLR,,,,,,,,,,,,,,,,,,,,,,,
BEL,1181125.473,763880.6724,157373.1664,229029.2802,377289.7325,438788.1518,33184.7415,45290.2001,4229.5251,1923.5135,37475.9954,7115.3465,3238.5574,9863.3804,7820.8185,7394.2284,1654.5523,4553.6013,6427.5113,1980.8331,67413.3611,3158.0895,1645.7339
BLZ,9463.2455,9415.8466,8885.6403,7331.3973,8203.3166,6215.8697,8247.4086,9738.8205,7847.2737,12350.1692,8011.5164,6528.9229,9715.6722,6913.6256,2287.2725,7938.7646,5359.3826,7505.5607,239.1991,6215.8697,3122.8159,8069.9383,11180.6289
BEN,,,,,,,,,,27513.408,9581.1916,9007.9956,,,,,,,,,,,
BMU,113.5369,175.2657,40.7851,98.1047,54.0127,92.5932,336.2015,330.69,675.7099,236.9945,180.7772,306.4394,504.8534,54.0127,208.3347,640.4363,182.9818,417.7717,268.9612,143.299,255.7336,220.46,85.9794
BOL,371.4751,598.5489,9936.1322,13092.0171,5388.0424,438.7154,22756.9835,29478.8089,53876.0148,18717.054,19033.4141,15012.2237,30.8644,,6699.7794,,260.1428,184.0841,13.2276,27.5575,25.3529,4.4092,40.7851
BIH,,,,,,,,,,,,,69.4449,,1047.185,,,,1102.3,,,,
BRA,896733.1753,1067468.4223,1074177.0201,1002504.3718,1406318.7492,935264.0718,1049254.0171,1304096.9587,1323699.1596,1151136.2992,1449399.9401,1600644.3185,1526028.5292,2087798.0874,1926885.4357,1157388.5448,1415252.8907,1862364.5098,869968.229,1404172.5711,1506058.1601,1879223.086,1974469.5221
VGB,5.5115,22.046,5.5115,,,,18.7391,,,,14.3299,,,83.7748,,59.5242,,42.9897,,,14.3299,55.115,
BRN,,,,,799.1675,,,,,,,,,,,,,,,,,,
BGR,,,,,,19.8414,1.1023,,,,,,,,,,,369.2705,1631.404,3787.5028,418.874,1134.2667,
BDI,3.3069,,,,,,,,,,,,,,,,,,,,,,
KHM,,,,,,,,,,,,,,,,,,,,,8.8184,,
CMR,,,,,,17.6368,,,,15.4322,9699.1377,,,,11353.69,,,,,,176.368,,577.6052
CAN,1384433.685,1242513.6623,1264817.6005,1352860.5061,1242200.6091,1264356.8391,1189930.6454,1111877.8847,1312544.9859,1203361.0686,1509997.7803,1371782.5879,1302090.7727,1442686.9331,1252950.2387,1199035.6434,1284143.1241,1688527.3906,2421810.4196,1164159.9737,1268484.9526,1849460.986,2052233.4802
CYM,59.5242,85.9794,683.426,77.161,268.9612,177.4703,354.9406,442.0223,413.3625,648.1524,665.7892,37.4782,89.2863,113.5369,13.2276,648.1524,51.8081,15.4322,34.1713,89.2863,55.115,216.0508,93.6955
CAF,,,,,,,,,,,,,,,30313.25,,,,,27721.7427,,,
TCD,,,,,,,,,,,,,,,,,,,,,,,
CHL,415934.1659,502129.6167,436432.5367,495059.4645,436169.087,317281.6228,516395.5833,276712.5736,253795.7566,203724.8814,184928.4618,114999.6521,207146.4206,269571.8742,316935.5006,314083.8505,389555.0246,308753.1277,241991.2259,106824.9953,174562.4326,200118.1558,100412.9162
