"year","Ammonium Nitrate Solid","Ammonium Sulfate","Anhydrous Ammonia","Aqua Ammonia","Calcium Cyanamide","Calcium Nitrate","Chemical Mixtures","Concentrated Super","Diammonium Phosphate DAP","Monammonium Phosphate MAP","Nitrogen Solutions","Normal Super","Other Nitrogen Fertilizers","Other Phosphate Fertilizers","Other Potassium Fertilizers","Phosphate Rock","Phosphoric Acid, Superphosphoric","Phosphoric Acid, Wet Process","Potassium Muriate","Potassium Nitrate","Potassium Sulfate","Potassium-Sodium Nitrate","Sodium Nitrate","Sulfur","Urea Solid"
1995,"794304.1524","478007.9858","3522730.340000001","14813.809700000002","296.5187","118426.7028","254944.35320000013","27267.595100000002","23451.432500000003","241910.7580000003","692515.5658000001","376.9866","140100.1254","156.5266","37837.54979999998","779948.8995","1092.3793","1263.2358000000002","8721882.612","40293.47419999999","57073.78710000001","42521.2225","121483.38069999998","2354693.5772000006","3236393.5851000007"
1996,"791594.699","411627.4798","3293019.8384000007","5750.6991","259.0405","98745.13629999998","173630.9891000002","92001.26490000001","84371.14430000001","201888.4496000001","967068.7337","68.3426","204768.7595000001","34661.8235","81318.87560000004","634561.0410000001","805.7813000000001","35798.2948","8958550.8312","33471.3395","66524.9073","24186.666600000004","107964.77350000001","1787390.4730000012","2779014.0415000003"
1997,"760099.7834","527388.8212","3408224.5182999996","6015.251100000001","379.19120000000004","97958.0941","248982.01250000007","43462.5867","62400.1007","129535.68220000002","895749.9237000002","451.943","224889.04140000002","35438.945","70428.15160000004","996657.7726000001","4179.9216","7043.697000000001","9961940.349900002","21161.9554","62052.876200000006","21963.3275","124801.3037","1663506.2829000005","2777130.2108000005"
1998,"825649.1552","351128.84659999993","3597781.5378","7767.9081000000015","401.23720000000003","141052.51260000002","246706.86530000003","84194.7763","48353.4918","155114.5537000001","707649.0425","12.125300000000001","200177.68","50032.2947","55935.111200000014","889988.2016","6790.168000000001","1904.7744000000002","1.0074988931E7","26309.696400000004","104241.20410000002","23353.3278","131589.2671","1425273.8999999997","3665797.8570000003"
1999,"1010803.5885","377176.19560000004","4013065.3467000006","7220.065","1768.0892000000001","134780.4256","196626.06940000015","70756.637","39239.67540000001","55309.004799999995","664467.5422999999","9.9207","209212.1308","16369.155000000002","41366.0121","820925.7997000002","4100.556","938.0573","9711017.1871","23404.033600000006","94782.3678","17345.792800000003","111775.4246","1377609.3456999997","3602923.7673"
2000,"923775.9012000001","382621.55760000006","4180793.5193000007","5740.778400000001","214.9485","119346.02100000001","185674.71890000024","2904.5605","135878.3164","207483.72440000015","1437867.6775","26.455199999999998","259342.53020000004","27807.7221","43312.673899999994","732644.7973000002","4297.8677","177.4703","1.01587571172E7","45130.3666","82466.36990000002","10313.1188","105895.75639999998","1072562.1506","4259208.9367"
2001,"1020227.1512000002","369751.10280000005","6105563.6413","4249.3665","282.18879999999996","140640.25240000003","89341.41500000004","38746.9473","147132.7994","319793.7645000005","2172921.0003","433.2039","201173.05689999997","41787.0907","38020.53160000001","943776.0324","3475.5519000000004","589.7305000000001","9609564.802","55986.91930000001","124946.80730000001","16975.420000000002","98570.97290000001","652513.0988000002","5346044.7700000005"
2002,"1090744.5891","382416.5298000001","6257319.4869","4015.6789000000003","419.97630000000004","109349.2623","142265.04260000004","32046.065599999998","171912.50340000002","258860.8251000005","1077925.9424","8392.9122","258015.361","80212.1664","53282.97739999998","1460465.9297999998","9315.5373","20142.3279","9445970.2544","111015.9399","145838.6992","18116.3005","79991.7064","917739.7063999999","4254033.638200001"
2003,"1327165.8931","311961.923","7663884.049","4315.504500000001","184.08409999999998","100298.27699999999","140972.04470000014","35954.8214","156102.2145","186092.49060000025","1914676.3609","787.0422","306727.10029999976","15812.4935","87920.55029999999","1419743.6609000002","12002.9447","56736.48330000001","9916747.1522","86810.5342","133799.3786","54668.5685","94319.4018","1758650.2050999997","5488429.963300001"
2004,"1163983.6057","359140.363","7944180.1999","19200.963699999997","167.5496","139439.8477","178646.45410000026","68682.10840000001","33750.2214","177409.6735","2231946.9607","110.22999999999999","276603.4459","6117.765","86557.0052","1630668.7658999998","10052.976","78759.33499999999","1.04346352497E7","73172.8786","117690.36639999998","46186.37","69328.05619999999","1551227.1072","5425079.680000001"
2005,"1000478.3444","309027.60040000005","8779456.843300002","26051.7582","105.82079999999999","131668.6327","194906.4814","9365.1408","11347.076200000001","162799.78930000003","3097353.8723","860.8963000000001","284893.8442","24327.761000000006","44050.1126","1890878.8062000002","5565.5127","63744.90670000001","1.10524655813E7","95858.2126","116456.89270000001","6286.4169","73474.9088","1806588.1297999995","6243175.875600001"
2006,"1268233.6282000002","373686.31380000006","7960037.887699999","25755.2395","343.91760000000005","173059.9977","202986.34039999984","18774.373599999995","59928.744099999996","112305.63090000006","2210002.3723","30374.9788","291071.13340000005","25772.876300000004","29754.383899999983","1950886.9159000001","2969.5962","82156.6236","9794762.225000001","164941.55819999997","109379.0244","285.4957","75416.0591","1853399.5038999997","5520213.681500001"
2007,"1220500.7312999999","446146.00430000003","8751603.926900001","33688.492600000005","","206837.7766","239643.3268999999","109175.09890000001","16189.480100000002","76064.21150000005","3347042.4590999996","93299.7743","325429.82440000004","","","1972830.4019999993","1672.1891","53505.642","1.1805699138E7","149816.89990000002","90498.83","326.2808","80349.95390000001","1828440.1250000002","7216146.323500001"
2008,"779285.3149","435492.2748000001","8092908.027400001","35408.0806","","225479.87420000002","251381.71959999987","179744.34489999997","33746.9145","215840.26070000004","2640529.8879","2395.2979","269277.5601","","","2042009.6477000003","6607.1862","53613.667400000006","1.18171928201E7","146135.21789999996","81299.03420000001","257.93820000000005","164759.67870000002","2343281.465300001","6042746.871200001"
2009,"496772.43870000006","357258.7369","6068602.42","79013.9663","","135769.18870000003","116470.12029999995","42364.6959","24492.003700000005","68786.82690000004","1284945.5985","81.5702","217194.9874","","","1506582.8549000002","8880.1288","34570.3326","5009819.019400001","81429.10560000001","96565.88919999999","725.3134","87899.60660000003","954481.5700000003","5210089.292599999"
2010,"605142.8586","393458.2689","7432059.335999998","99967.58700000001","","38019.4293","136086.65109999984","208365.5644","239256.41960000002","296945.2901000002","2717930.087","4801.618799999999","426054.3822","","","2075041.1695","4656.1152","34672.8465","1.1170510888300002E7","84711.755","107424.6465","389.1119000000001","77334.0611","2086564.613699999","7023904.101200001"
2011,"698836.154","331074.7027000001","7507485.3158","94475.92839999999","","37475.9954","182787.79520000005","228210.2713","286250.7755000001","663790.7300999993","3852545.1138000004","4721.1509","395981.43360000005","","","3137798.3616","4951.531600000001","655.8685","1.16526436807E7","126613.48490000001","99098.97460000002","1675.4960000000003","99726.18330000002","2459946.6927000005","6459601.457599998"
2012,"938283.2715","274619.3059","6938743.7101","96517.388","","42493.66500000001","218462.63240000006","230239.6056","101105.16060000003","546706.6286999995","3286246.2049000007","1595.0281000000004","462435.7937000002","","","2819510.3389000013","5526.9322","2253.1012","9215293.0357","175415.6128","118081.6829","583.1167","164132.47","2259686.3401999995","7654463.7932"
