id,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AFG,,,,,,,,,,,,,,,,,
ALB,,,,,,,,,,,,,,,,,
DZA,9597.7261,,,8854.7759,,,94270.9006,47062.6985,146651.0943,81758.6933,49418.3136,23369.8623,20400.2661,,,,10191.8658
AND,,,,,,,,,,,,,,,,,
AGO,,,,,,,,,,,,,,,,,
AIA,,,,,,,,,,,,,,,,,
ATG,,,,,,,,,25.3529,,,,,,,,
ARG,,,,,,,105563.9641,56089.4332,82470.7791,24932.9237,29910.9105,29982.56,,,49390.7561,,66.138
ABW,,,,,,,,,,,,,,,,,
AUS,152.1174,18.7391,46.2966,,849.8733,1082.4586,567.6845,5149.9456,14304.5471,24996.8571,4397.0747,26368.1183,28216.6754,5731.96,121763.3649,5606.2978,6910.3187
AUT,,,7881.445,3.3069,,,,,,,,,,,,,33.069
AZE,,,,,,,,,,,,,,,,,
BHS,,,,,50.7058,,,,,,,,,,,,
BHR,,,,65175.6921,143457.7312,275395.3251,401865.511,238500.2418,193515.3788,124883.9762,247412.3373,207883.8593,359272.639,245405.049,336651.2384,293179.8333,387922.5183
BGD,61168.8316,,,,,114038.4465,,,26182.9319,52893.8655,151259.8106,26362.6068,24465.5485,,,25147.8722,
BRB,,,,,,,,,,,,,,,,,
BLR,103177.4846,40108.2878,7500.0492,303724.4351,132592.3601,165675.69,387816.6975,370595.4646,607265.8884,812832.7131,797185.5646,913722.9252,1058557.4291,187167.2331,,,
BEL,104824.3208,75473.3786999999,124659.107,60462.2573,61792.7333999999,75721.3962,37075.8605,69919.9913,106994.7495,123304.3803,106018.1117,132622.1222,83106.8062,95787.6654,43788.8675,40770.7701,4163.3871
BLZ,,,,,,,,,,,,,,,44.092,,
BEN,,,,,,,,,,,,,,,,,
BMU,,,,,,,,,,,,,,,,,
BOL,,57.3196,,,451.943,,,,,,,,,,,,
BIH,,,,,,,,,,,,,,,,,
BRA,1193.7909,29486.525,43174.8864,86616.5294,361.5544,1310.6347,2417.3439,90762.2797,58279.7033,83415.4502,49012.6672,66775.1294,34764.3374,41593.0859,15028.7582,37302.9343,14614.2934
VGB,,,,,,,,,,,,,,,,,
BRN,,,,,,,,,,,,,,,,,
BGR,243250.0525,112498.5334,42979.7793,137667.3493,18207.7914,25354.0023,167679.6714,24587.9038,253969.92,66534.828,207916.9283,141196.9139,92960.2659,77731.9914,,83079.2487,49918.7578
BDI,,,,,,,,,,,,,,,,,
KHM,,,,,,,,,,,,,,,,,
CMR,,,,,,,,,,,18.7391,,,,,,
CAN,1.4149289247300008E7,1.3758576807699995E7,1.5084678981299989E7,1.421579210859999E7,1.422759994620001E7,1.45811869218E7,1.2949183270599972E7,1.3842832210500004E7,1.442458646769999E7,1.5795757279099988E7,1.63232563303E7,1.478749228749997E7,1.694985766299998E7,1.6488407325499984E7,9470872.31369999,1.5839692752500003E7,1.6463442435099993E7
CYM,,,,,,,,,,,,,,,,,
CAF,,,,,,,,,,,,,,,,,
TCD,,,,,,,,,,,,,,,,4349.6758,
CHL,203687.4032,161750.3997,172228.8635,193121.8577,179694.7414,187590.5163,194574.6891,222958.9141,259200.3335,213096.636,176762.6234,185368.2795,193130.6761,263090.3502,176778.0556,150622.6812,225710.2549
CHN,1121.0391,4150.1595,1412.0463,3548.3037,2030.4366,32164.0117,186226.9712,18708.2356,417175.3557,286645.3989,68888.2385,203803.1447,788517.0774,929210.240200001,328474.377,871368.15,496081.2966
TWN,516.9787,1922.4112,166.4473,80.4679,110.23,82.6725,88.184,24.2506,,26.4552,7.7161,46.2966,240.3014,2281.761,685.6306,997.5815,1727.3041
CCK,,,,,,,,,,,,,,,,,
COL,,,6694.2679,34580.2533,27598.2851,50915.237,74259.7464,46963.4915,7549.6527,32005.2805,40632.9826,35034.4009,24519.5612,22600.4569,33482.3625,32104.4875,13106.347
COG,,,,,,,,,,,,,,,,,
COK,,,,,,,,,,,,,,,,,
CRI,22.046,308.644,283.2911,489.4212,2007.2883,1538.8108,655.8685,,,44.092,,,,,,,
HRV,24250.6,,45254.9265,18140.5511,79190.3343,16770.3922,66620.8074,22152.9231,18160.3925,70062.188,37892.6648,,,,,21639.2513,93272.2168
CUB,,,,,,,,,,,,,,,,,
CUW,,,,,,,,,,,,,,,,,
CYP,,,,,,,,,,,,,,,,,
CZE,230.3807,131.1737,,2.2046,250.2221,227.0738,181.8795,438.7154,166.4473,300.9279,382.4981,314.1555,,,,,
DNK,9921.8023,1773.6007,1227.9622,1761.4754,6861.8175,12065.7758,9765.2757,22517.7844,20387.0385,12253.1668,957.8987,3500.9048,26.4552,475.0913,,,6.6138
DJI,,,,,,,,,,,,,,,,,
DMA,,,,,,,,,,,,,,,,,
DOM,112.4346,291.0072,134.4806,330.69,480.6028,514.7741,93.6955,30.8644,27.5575,36.3759,,,327.3831,440.92,1187.1771,453.0453,696.6536
ECU,,,,286.598,125.6622,154.322,154.322,198.414,,,694.449,,1.1023,,,,
EGY,46298.8046,,,,99926.8019,190789.3909,445069.0572,117594.4663,380717.8855,87514.9039,94811.0276,90039.1709,725106.1676,419192.5647,290729.4204,823769.7337,872095.668
SLV,,,,,,,,,,,,,,,,,
GNQ,,,,,,,,,,,,,,,,,
ERI,,,,,,,,,,,,,,,,,
EST,,34531.7521,,,,,,,51144.5154,13504.2773,81670.5093,65839.2767,59411.7654,92649.4173,30350.7282,166968.6879,211632.7816
ETH,,,,,,,,,,,,,,,,,
FJI,,,,,,,,,,,,,,,,,
FIN,534.6155,13734.658,345.0199,311.9509,311.9509,87.0817,,23.1483,246.9152,229.2784,8847.0598,16004.2937,13049.0274,20712.217,11659.0271,15054.1111,19361.8995
CZE,,,,,,,,,,,,,,,,,
ETH,,,,,,,,,,,,,,,,,
YUG,,,,,,,,,,,,,,,,,
FRA,18838.307,34963.8537,11808.9399,21807.9032,29234.0983,50657.2988,3786.4005,8333.388,9652.8411,3353.1966,5553.3874,6810.0094,19132.6211,26223.717,2953.0617,3543.8945,3397.2886
GUF,,,,,,,,,,,,,,,,,
PYF,,,,,,,,,,,,,,,,,
GAB,,,778.2238,,,,,,,,,,,,,,
GEO,11.023,76.0587,57.3196,,,74.9564,,,,,33487.874,169200.8454,146568.4218,70603.4173,22729.426,111315.7655,116674.0458
DEU,104205.9305,264800.0175,135525.5804,116724.7516,183779.8652,169695.7781,235938.4966,220102.8548,215416.9775,271702.6201,239625.6901,368182.5299,195996.6561,130064.7862,194995.7677,148779.6356,270135.1495
GHA,,,,,,,,,,,,,,,,,
GIB,,,,,,,,,,,,,,,,,
GRC,,10784.9032,,18187.95,30923.9242,56.2173,,13227.6,20146.7371,4694.6957,,,30.8644,,,10506.0213,
GRD,,,,,,,,,,,,,,,,,
GLP,,,,,,,,,,,,,,,,,
GTM,,,,,,,,,,,,,,,27.5575,56.2173,22.046
GIN,,,,,,,,,,,,,,,,,
GUY,,,,,,,,,,,,,,,,,
HTI,,,,,,,,,,,,,,,,,
HND,,,,,,,,,,,,,,,,,
HKG,1.1023,4.4092,,14.3299,,23.1483,19.8414,1.1023,77.161,157.6289,125.6622,45.1943,,,1079.1517,28939.7842,1829.818
HUN,,,,,,,15.4322,,,11024.1023,6288.6215,,,,,,
ISL,,,,,,,,,,,,16.5345,,,,,
IND,568.7868,1872.8077,943.5688,142.1967,10994.3402,1891.5468,292.1095,329.5877,333.9969,544.5362,1033.9574,1377.875,524.6948,31081.5531,3836.004,773.8146,3030.2227
IDN,,20457.5857,10920.4861,,17357.9181,130674.3581,283230.4735,14106.1331,105611.363,110377.7082,157429.3837,55202.0817,44542.8407,141.0944,132.276,76572.3718,116290.4454
IRN,,,,,,,,,,,,,,,,,
IRQ,,,,,3494.291,3723.5694,,,,,,,,,,,
IRL,1.1023,,1.1023,,88.184,,,,,1.1023,,523.5925,1311.737,2871.4915,3390.6748,1101.1977,2839.5248
ISR,76824.7985,55627.5695000001,6005.3304,28137.3098,2488.9934,3540.5876,7320.3743,101118.3882,44037.9873,44775.426,65662.9087,124268.8928,97539.2201,122656.2279,22988.4665,141862.7031,395249.5064
ITA,322.9739,103.6162,2676.3844,493.8304,455.2499,588.6282,23234.2794,1601.6419,3726.8763,6265.4732,7552.9596,9276.9568,11245.6646,18028.1165,3045.6549,13581.4383,42453.9822
CIV,,5534.6483,,,,,,,,,,,,,,,
JAM,,352.736,,1299.6117,257.9382,197.3117,,,,,,,,,,,
JPN,24015.8101,13372.0013,15835.6418,28579.3321,17109.9006,20904.0172,31360.435,18396.2847,16904.8728,21364.7786,23294.9059,21224.7865,26090.3387,21066.0553,13499.8681,13433.7301,23712.6776
JOR,21697.6732,,,,,,60.6265,,,,,,104.7185,8441.4134,67.2403,213.8462,231.483
KAZ,,,,,,,,,,,,,,,,72751.8,
KEN,,,,,,,,,,,,,,,,,
KWT,32172.8301,,,103648.1667,84765.7677,44615.5925,144004.472,34488.7624,514239.4845,724864.7639,499528.1887,550087.3828,648124.8425,759942.1545,276336.6893,507089.9667,401920.626
LAO,,,,,,,,,,,,,,,,,
LVA,129028.6242,48903.5395,30336.3983,8771.0011,,,88484.9279,27409.7918,103930.3555,31966.7,129784.802,,82470.7791,100705.0257,,106750.0389,75677.3042
LBN,,,,,,,,130.0714,,,,,27400.9734,,,27634.661,
LBR,15057.418,,,,,,,,,,,,,,,,
LBY,,,,,,,,,,67188.4919,128857.7677,112392.7126,389650.9247,164400.3289,83912.5875,140142.0128,72901.7128
LIE,,,,,,,,,,,26.4552,,80.4679,,,,
LTU,,31690.0227,47635.8945,,48513.3253,203619.0606,285399.7999,77707.7408,182190.3486,148529.4135,299637.1067,204946.2298,535642.8436,430606.8812,69039.2536,106427.065,524706.9253
LUX,,,,,,,,,,,,,303.1325,,,,
MAC,,,,,,,,,,,,,,,,,
MKD,,,,,,,,,,,,,,,,,
MDG,,,,,,,,,,,,,,,,,
MWI,,,,,,,,,,,,,,,,,
MYS,49786.4818,24421.4565,50739.9713,49433.7458,65.0357,94128.7039,333022.4668,52904.8885,84394.2926,29159.1419,79306.0758,102114.8674,83440.8031,56089.4332,24250.6,20.9437,58542.0507
MDV,,,,,,,,,,,,,,,,,
MLI,,,,,,,,,,,,,,,,,
MLT,,,,,,,,,,,,,,,,,
MHL,,,,,,,,,,,,,,,,,
MTQ,,,,,,123.4576,,302.0302,373.6797,281.0865,324.0762,569.8891,,,224.8692,,88.184
MRT,,,,,,,,,,,,,,,,,
MUS,,,24.2506,,,,,,,,,,,,,,
MEX,1460956.4533,1291877.9632,1098113.4646,1008490.9631,943243.6215,719400.6628,424295.1114,619017.5087,626159.3104,531529.06,493846.9345,570667.3238,575864.6683,530344.0875,168451.2814,543944.2649,435129.6181
FSM,,,,,,,,,,,,,,,,,
MCO,52.9104,,,,,,,,,,,,,,,,
MNG,,,,,,,,,,,,,,,,,
MSR,,,,,,,,,,,,,,,,,
MAR,717454.001,692884.8363,958637.241,889189.0341,784450.6927,718519.9251,981118.6495,1536855.3198,1383387.6023,1628590.9304,1889419.361,1942451.014,2051197.3182,2110422.7949,1533848.2454,2055552.5055,2029263.7528
MOZ,,,,,,,,,,,,,,,,,
MMR,,,,,,,,,,,,,,,,,
NAM,,,,,,200.6186,,,,,,,,,,,
NPL,,,,,,,,,,,,,,,,,
NLD,221496.162,275223.3663,260065.639,264407.5987,252930.4511,154967.9478,264775.7669,291418.3579,308909.6543,267496.2433,76694.7271,154881.9684,332539.6594,169425.7146,131208.9736,135618.1736,230612.183
ANT,,,,,,,,,,,,,,,,4458.8035,
NCL,,,,,,,,,,,,,,,,,
NZL,55.115,2.2046,132.276,220.46,7.7161,25.3529,69.4449,146.6059,147.7082,1.1023,4.4092,2.2046,,1.1023,4.4092,26.4552,529.104
