"","Country","Commodity","Exports.Tons","Exports.Dollars","Imports.Tons","Imports.Dollars"
"2","World total","Total","1.3158131951700034E7","","3.2336498501700044E7","5802049514"
"3","World total","Ammonium Nitrate (Solid)","140263.2658","","1268233.6282000002","246929992"
"4","World total","Ammonium Sulfate","1109757.0595","","373686.31380000006","53711834"
"5","World total","Anhydrous Ammonia","259846.28130000006","","7960037.887699999","2128407709"
"6","World total","Aqua Ammonia","","","25755.2395","4317778"
"7","World total","Calcium Cyanamide","38.5805","","343.91760000000005","101641"
"8","World total","Calcium Nitrate","","","173059.9977","10057001"
"9","World total","Chemical Mixtures","268950.17700000043","","202986.34039999984","71596451"
"10","World total","Concentrated Super","71991.213","","18774.373599999995","3538570"
"11","World total","Diammonium Phosphate (DAP)","6234035.604","","59928.744099999996","28974766"
"12","World total","Monammonium Phosphate (MAP)","2546965.5615999997","","112305.63090000006","36194568"
"13","World total","Nitrogen Solutions","26379.141300000003","","2210002.3723","335138249"
"14","World total","Normal Super","15071.7479","","30374.9788","5146674"
"15","World total","Other Nitrogen Fertilizers","33148.36559999998","","291071.13340000005","59391924"
"16","World total","Other Phosphate Fertilizers","5311.983700000002","","25772.876300000004","1144527"
"17","World total","Other Potassium Fertilizers","432046.48500000004","","29754.383899999983","5862591"
"18","World total","Phosphate Rock","148856.7966","","1950886.9159000001","71959749"
"19","World total","Phosphoric Acid, Superphosphoric","151679.7869","","2969.5962","1009760"
"20","World total","Phosphoric Acid, Wet Process","532793.3981","","82156.6236","27154259"
"21","World total","Potassium Muriate","371945.7821","","9794762.225000001","1323964195"
"22","World total","Potassium Nitrate","","","164941.55819999997","52259511"
"23","World total","Potassium Sulfate","83089.1694","","109379.0244","22126339"
"24","World total","Potassium-Sodium Nitrate","","","285.4957","183791"
"25","World total","Sodium Nitrate","3116.2021000000004","","75416.0591","17847169"
"26","World total","Sulfur","","","1853399.5038999997","69526746"
"27","World total","Urea (Solid)","722845.3503000002","","5520213.681500001","1225503720"
"28","Afghanistan","Total","","","",""
"29","Afghanistan","Ammonium Nitrate (Solid)","","","",""
"30","Afghanistan","Ammonium Sulfate","","","",""
"31","Afghanistan","Anhydrous Ammonia","","","",""
"32","Afghanistan","Aqua Ammonia","","","",""
"33","Afghanistan","Calcium Cyanamide","","","",""
"34","Afghanistan","Calcium Nitrate","","","",""
"35","Afghanistan","Chemical Mixtures","","","",""
"36","Afghanistan","Concentrated Super","","","",""
"37","Afghanistan","Diammonium Phosphate (DAP)","","","",""
"38","Afghanistan","Monammonium Phosphate (MAP)","","","",""
"39","Afghanistan","Nitrogen Solutions","","","",""
"40","Afghanistan","Normal Super","","","",""
"41","Afghanistan","Other Nitrogen Fertilizers","","","",""
"42","Afghanistan","Other Phosphate Fertilizers","","","",""
"43","Afghanistan","Other Potassium Fertilizers","","","",""
"44","Afghanistan","Phosphate Rock","","","",""
"45","Afghanistan","Phosphoric Acid, Superphosphoric","","","",""
"46","Afghanistan","Phosphoric Acid, Wet Process","","","",""
"47","Afghanistan","Potassium Muriate","","","",""
"48","Afghanistan","Potassium Nitrate","","","",""
"49","Afghanistan","Potassium Sulfate","","","",""
"50","Afghanistan","Potassium-Sodium Nitrate","","","",""
"51","Afghanistan","Sodium Nitrate","","","",""
"52","Afghanistan","Sulfur","","","",""
"53","Afghanistan","Urea (Solid)","","","",""
"54","Albania","Total","","","",""
"55","Albania","Ammonium Nitrate (Solid)","","","",""
"56","Albania","Ammonium Sulfate","","","",""
"57","Albania","Anhydrous Ammonia","","","",""
"58","Albania","Aqua Ammonia","","","",""
"59","Albania","Calcium Cyanamide","","","",""
"60","Albania","Calcium Nitrate","","","",""
"61","Albania","Chemical Mixtures","","","",""
"62","Albania","Concentrated Super","","","",""
"63","Albania","Diammonium Phosphate (DAP)","","","",""
"64","Albania","Monammonium Phosphate (MAP)","","","",""
"65","Albania","Nitrogen Solutions","","","",""
"66","Albania","Normal Super","","","",""
"67","Albania","Other Nitrogen Fertilizers","","","",""
"68","Albania","Other Phosphate Fertilizers","","","",""
"69","Albania","Other Potassium Fertilizers","","","",""
"70","Albania","Phosphate Rock","","","",""
"71","Albania","Phosphoric Acid, Superphosphoric","","","",""
"72","Albania","Phosphoric Acid, Wet Process","","","",""
"73","Albania","Potassium Muriate","","","",""
"74","Albania","Potassium Nitrate","","","",""
"75","Albania","Potassium Sulfate","","","",""
"76","Albania","Potassium-Sodium Nitrate","","","",""
"77","Albania","Sodium Nitrate","","","",""
"78","Albania","Sulfur","","","",""
"79","Albania","Urea (Solid)","","","",""
"80","Algeria","Total","","","23369.8623","3455694"
"81","Algeria","Ammonium Nitrate (Solid)","","","",""
"82","Algeria","Ammonium Sulfate","","","",""
"83","Algeria","Anhydrous Ammonia","","","",""
"84","Algeria","Aqua Ammonia","","","",""
"85","Algeria","Calcium Cyanamide","","","",""
"86","Algeria","Calcium Nitrate","","","",""
"87","Algeria","Chemical Mixtures","","","",""
"88","Algeria","Concentrated Super","","","",""
"89","Algeria","Diammonium Phosphate (DAP)","","","",""
