"","year","length","rating","genre"
"1",1971,121,6.4,"Comedy"
"2",1939,71,6,"Comedy"
"3",1941,7,8.2,"Animation"
"4",1996,70,8.2,"Comedy"
"5",1975,71,3.4,"Misc"
"6",2000,91,4.3,"Drama"
"7",2002,93,5.3,"Action"
"8",2002,25,6.7,"Documentary"
"9",1987,97,6.6,"Drama"
"10",1917,61,6,"Misc"
"11",1988,99,5.4,"Drama"
"12",1994,96,5.9,"Misc"
"13",1906,10,7,"Comedy"
"14",1965,10,6.7,"Short"
"15",1983,106,7.1,"Action"
"16",1987,101,7.2,"Action"
"17",1980,107,7.9,"Drama"
"18",1968,10,6.6,"Documentary"
"19",1988,110,5,"Action"
"20",1981,7,8.6,"Animation"
"21",1995,90,3.9,"Comedy"
"22",1935,85,7.2,"Drama"
"23",1974,88,3.5,"Action"
"24",1988,95,3.1,"Misc"
"25",1921,18,7.8,"Comedy"
"26",1979,80,7.7,"Misc"
"27",1935,6,6.2,"Animation"
"28",1989,86,6.2,"Misc"
"29",1945,92,7.7,"Drama"
"30",1995,7,6.8,"Comedy"
"31",1985,105,6.4,"Drama"
"32",1987,140,5.9,"Drama"
"33",1996,99,4.6,"Comedy"
"34",1997,19,7.3,"Short"
"35",1966,74,1.6,"Misc"
"36",1991,117,7.2,"Drama"
"37",1942,61,6.1,"Comedy"
"38",1946,41,5.4,"Short"
"39",1934,52,4.6,"Misc"
"40",1986,96,6.8,"Drama"
"41",1989,90,3.9,"Comedy"
"42",1941,120,7.2,"Drama"
"43",2001,83,4.9,"Drama"
"44",1986,133,7.3,"Drama"
"45",1975,90,5.5,"Action"
"46",1951,15,5.3,"Short"
"47",1907,15,5.8,"Animation"
"48",1997,113,4.8,"Comedy"
"49",1940,99,6.3,"Drama"
"50",1940,9,5.9,"Documentary"
"51",1989,101,6,"Comedy"
"52",2002,13,7.2,"Drama"
"53",2002,82,4.8,"Drama"
"54",1996,118,6.6,"Drama"
"55",2001,80,1.4,"Drama"
"56",2004,87,5.6,"Comedy"
"57",2002,92,4.9,"Drama"
"58",1987,106,5.7,"Comedy"
"59",1987,7,9.4,"Animation"
"60",1959,96,6.3,"Drama"
"61",1932,77,5.8,"Comedy"
"62",1967,95,3.6,"Misc"
"63",1981,113,5.6,"Action"
"64",1990,84,5.3,"Drama"
"65",1979,119,7,"Drama"
"66",1973,93,4.4,"Misc"
"67",1935,104,6,"Comedy"
"68",1977,109,5.2,"Comedy"
"69",1998,106,6.1,"Comedy"
"70",1997,8,2.6,"Short"
"71",1978,10,7.9,"Animation"
"72",2000,5,6.2,"Short"
"73",1980,96,5.7,"Drama"
"74",1990,88,4.7,"Action"
"75",1999,92,4.6,"Drama"
"76",2004,22,8.1,"Comedy"
"77",1975,90,6.8,"Misc"
"78",1984,82,5.8,"Comedy"
"79",2005,95,5,"Drama"
"80",1996,88,3.6,"Misc"
"81",1974,15,8.3,"Short"
"82",1971,96,6.1,"Drama"
"83",1968,100,3.9,"Misc"
"84",1976,98,5.8,"Misc"
"85",1968,105,5.3,"Drama"
"86",1970,100,6,"Action"
"87",1958,94,5.7,"Misc"
"88",2000,95,5.9,"Comedy"
"89",1957,97,6.8,"Misc"
"90",2001,14,7.1,"Short"
"91",2002,96,3.7,"Misc"
"92",1994,90,5.9,"Comedy"
"93",1964,83,3.6,"Action"
"94",1965,90,4.7,"Comedy"
"95",1994,87,6.4,"Drama"
"96",2004,117,6.3,"Drama"
"97",1966,101,1.8,"Comedy"
"98",1954,95,4.6,"Drama"
"99",1955,96,4.2,"Drama"
"100",1955,110,3.7,"Drama"
"101",2002,155,6.6,"Documentary"
"102",1979,85,7.5,"Comedy"
"103",1935,70,6.2,"Comedy"
"104",2003,72,4.9,"Comedy"
"105",1960,125,7.3,"Drama"
"106",1952,105,6.9,"Misc"
"107",1986,48,8.1,"Documentary"
"108",1979,122,5.7,"Comedy"
"109",1977,84,2.6,"Action"
"110",1971,111,7.2,"Drama"
"111",1998,10,7.3,"Short"
"112",1999,97,6.7,"Comedy"
"113",1982,95,3.8,"Action"
"114",1973,92,8.6,"Comedy"
"115",2004,240,7.9,"Drama"
"116",2004,88,5.9,"Documentary"
"117",2003,6,6.1,"Short"
"118",1983,101,5.4,"Action"
"119",1967,100,3.6,"Misc"
"120",1997,28,8.8,"Short"
"121",1991,161,5.8,"Romance"
"122",2001,100,6.2,"Drama"
"123",2000,90,5.8,"Comedy"
"124",2002,98,5.6,"Comedy"
"125",2001,88,5.5,"Comedy"
"126",1997,94,3.3,"Drama"
"127",1969,110,5.6,"Misc"
"128",1994,9,9.2,"Documentary"
"129",2004,100,5.9,"Drama"
"130",1995,101,4.6,"Drama"
"131",1971,92,6.1,"Drama"
"132",1994,95,5.1,"Drama"
"133",1963,79,2.2,"Comedy"
"134",1997,18,8,"Short"
"135",1959,75,5.2,"Animation"
"136",1986,79,7.7,"Misc"
"137",1998,23,7.3,"Short"
"138",1990,98,5.1,"Drama"
"139",1989,117,7.8,"Documentary"
"140",1996,103,5.5,"Comedy"
"141",2000,78,6.3,"Documentary"
"142",2000,100,5.5,"Comedy"
"143",2001,103,5.8,"Drama"
"144",1993,112,5.2,"Comedy"
"145",2000,100,4.7,"Comedy"
"146",2000,14,6,"Short"
"147",1966,85,6.2,"Drama"
"148",2004,105,7.4,"Documentary"
"149",1974,94,6,"Comedy"
"150",2000,11,8.4,"Short"
"151",2004,85,4.7,"Comedy"
"152",2002,134,6.9,"Drama"
"153",2004,95,4.3,"Misc"
"154",2003,95,7.1,"Comedy"
"155",1969,94,5.5,"Comedy"
"156",1957,96,8.7,"Drama"
"157",2001,150,5.2,"Drama"
"158",1998,86,5.1,"Drama"
"159",2003,4,5.2,"Comedy"
"160",1999,18,7.2,"Comedy"
"161",2001,89,6.2,"Comedy"
"162",1956,55,8.5,"Animation"
"163",1971,161,8.9,"Comedy"
"164",1960,74,2.8,"Misc"
"165",1997,60,2.4,"Comedy"
"166",1959,85,5.2,"Drama"
"167",1990,25,7.4,"Short"
"168",2002,92,8.2,"Drama"
"169",2003,85,2.2,"Action"
"170",1960,69,4.2,"Misc"
"171",1963,89,5,"Misc"
"172",1960,85,5.6,"Misc"
"173",2004,98,6.4,"Comedy"
"174",2004,135,9,"Documentary"
"175",2002,93,5.6,"Comedy"
"176",1947,95,6.8,"Misc"
"177",1962,80,6.3,"Drama"
"178",2003,122,7.2,"Misc"
"179",1982,110,6.4,"Drama"
"180",1987,89,6.8,"Misc"
"181",1988,88,4.3,"Misc"
"182",2003,58,4.9,"Misc"
"183",1951,85,6.1,"Misc"
"184",1937,70,5.1,"Misc"
"185",2000,85,3.9,"Misc"
"186",1999,102,6.1,"Action"
"187",1952,7,7.2,"Animation"
"188",2003,52,8.3,"Drama"
"189",1985,83,3.6,"Drama"
"190",1973,105,6.7,"Misc"
"191",1998,27,7,"Short"
"192",1992,154,6,"Drama"
"193",1998,88,5.5,"Comedy"
"194",2003,90,6.4,"Comedy"
"195",1998,92,6.5,"Drama"
"196",1999,25,4.8,"Comedy"
"197",2001,120,6.1,"Drama"
"198",2000,20,6.4,"Short"
"199",2000,120,5.5,"Drama"
"200",2003,74,5.6,"Drama"
"201",1985,145,7.7,"Documentary"
"202",2002,158,7.3,"Action"
