"","Country","Commodity","Exports.Tons","Exports.Dollars","Imports.Tons","Imports.Dollars"
"2","World total","Total","2.1566997739599966E7","","2.1703786555800043E7","2271916862"
"3","World total","Ammonium Nitrate (Solid)","98774.89840000002","","794304.1524","90011026"
"4","World total","Ammonium Sulfate","1010837.7598000002","","478007.9858","36059991"
"5","World total","Anhydrous Ammonia","426156.8961","","3522730.340000001","746752268"
"6","World total","Aqua Ammonia","","","14813.809700000002","1578729"
"7","World total","Calcium Cyanamide","128.9691","","296.5187","297331"
"8","World total","Calcium Nitrate","","","118426.7028","8458178"
"9","World total","Chemical Mixtures","355342.93950000004","","254944.35320000013","40605364"
"10","World total","Concentrated Super","786774.3411000001","","27267.595100000002","3887227"
"11","World total","Diammonium Phosphate (DAP)","1.1087763431899998E7","","23451.432500000003","5295956"
"12","World total","Monammonium Phosphate (MAP)","1327394.0691999996","","241910.7580000003","46879058"
"13","World total","Nitrogen Solutions","5439.8505000000005","","692515.5658000001","74244839"
"14","World total","Normal Super","6823.237","","376.9866","51516"
"15","World total","Other Nitrogen Fertilizers","60719.093199999996","","140100.1254","15186793"
"16","World total","Other Phosphate Fertilizers","5918.2487","","156.5266","95411"
"17","World total","Other Potassium Fertilizers","373788.82769999997","","37837.54979999998","7225099"
"18","World total","Phosphate Rock","3295502.2180000003","","779948.8995","31124578"
"19","World total","Phosphoric Acid, Superphosphoric","469771.6002","","1092.3793","345977"
"20","World total","Phosphoric Acid, Wet Process","634115.7118","","1263.2358000000002","503337"
"21","World total","Potassium Muriate","327472.3863","","8721882.612","583608883"
"22","World total","Potassium Nitrate","","","40293.47419999999","9169411"
"23","World total","Potassium Sulfate","319754.0817","","57073.78710000001","9530175"
"24","World total","Potassium-Sodium Nitrate","","","42521.2225","6184252"
"25","World total","Sodium Nitrate","3116.2021","","121483.38069999998","17087605"
"26","World total","Sulfur","","","2354693.5772000006","91889036"
"27","World total","Urea (Solid)","971402.9772999999","","3236393.5851000007","445844822"
"28","Afghanistan","Total","","","",""
"29","Afghanistan","Ammonium Nitrate (Solid)","","","",""
"30","Afghanistan","Ammonium Sulfate","","","",""
"31","Afghanistan","Anhydrous Ammonia","","","",""
"32","Afghanistan","Aqua Ammonia","","","",""
"33","Afghanistan","Calcium Cyanamide","","","",""
"34","Afghanistan","Calcium Nitrate","","","",""
"35","Afghanistan","Chemical Mixtures","","","",""
"36","Afghanistan","Concentrated Super","","","",""
"37","Afghanistan","Diammonium Phosphate (DAP)","","","",""
"38","Afghanistan","Monammonium Phosphate (MAP)","","","",""
"39","Afghanistan","Nitrogen Solutions","","","",""
"40","Afghanistan","Normal Super","","","",""
"41","Afghanistan","Other Nitrogen Fertilizers","","","",""
"42","Afghanistan","Other Phosphate Fertilizers","","","",""
"43","Afghanistan","Other Potassium Fertilizers","","","",""
"44","Afghanistan","Phosphate Rock","","","",""
"45","Afghanistan","Phosphoric Acid, Superphosphoric","","","",""
"46","Afghanistan","Phosphoric Acid, Wet Process","","","",""
"47","Afghanistan","Potassium Muriate","","","",""
"48","Afghanistan","Potassium Nitrate","","","",""
"49","Afghanistan","Potassium Sulfate","","","",""
"50","Afghanistan","Potassium-Sodium Nitrate","","","",""
"51","Afghanistan","Sodium Nitrate","","","",""
"52","Afghanistan","Sulfur","","","",""
"53","Afghanistan","Urea (Solid)","","","",""
"54","Albania","Total","","","",""
"55","Albania","Ammonium Nitrate (Solid)","","","",""
"56","Albania","Ammonium Sulfate","","","",""
"57","Albania","Anhydrous Ammonia","","","",""
